id_subsistema,nom_subsistema,id_estado,nom_estado,cod_modalidadeoperacao,nom_tipousina,nom_tipocombustivel,nom_usina,id_ons,ceg,ceg_label
NE,NORDESTE,CE,CEARA,TIPO I,TÉRMICA,Gás,Fortaleza,CEUTFO,UTE.GN.CE.028357-6.01,Fortaleza
NE,NORDESTE,CE,CEARA,TIPO I,TÉRMICA,Carvão,Porto do Pecém II,CEUTPD,UTE.CM.CE.030098-5.01,Porto do Pecém II
N,NORTE,MA,MARANHAO,TIPO I,TÉRMICA,Gás,Maranhão V,MAUTM5,UTE.GN.MA.030203-1.01,Maranhão V
N,NORTE,MA,MARANHAO,TIPO I,TÉRMICA,Gás,Maranhão III,MAUTM3,UTE.GN.MA.030800-5.01,Maranhão III
N,NORTE,MA,MARANHAO,TIPO I,TÉRMICA,Gás,Parnaíba IV,MAUTP4,UTE.GN.MA.031193-6.01,Parnaíba IV
N,NORTE,MA,MARANHAO,TIPO I,TÉRMICA,Gás,MC2 Nova Venécia 2,MAUTNV,UTE.GN.MA.030196-5.01,Nova Venécia 2
N,NORTE,MA,MARANHAO,TIPO I,TÉRMICA,Gás,Maranhão IV,MAUTM4,UTE.GN.MA.030202-3.01,Maranhão IV
N,NORTE,MA,MARANHAO,TIPO I,TÉRMICA,Carvão,Porto do Itaqui,MAUTPI,UTE.CM.MA.029700-3.01,Porto do Itaqui
NE,NORDESTE,SE,SERGIPE,TIPO I,TÉRMICA,Gás,Porto de Sergipe I,SEUPS1,UTE.GN.SE.032228-8.01,Porto de Sergipe I
N,NORTE,RR,RORAIMA,TIPO I,TÉRMICA,Gás,Jaguatirica II,RRJII,UTE.GN.RR.044619-0.01,Jaguatirica II
N,NORTE,MA,MARANHAO,TIPO I,TÉRMICA,Gás,Parnaíba V,MAUTP5,UTE.GN.MA.040562-0.01,Parnaíba V
