year,quarter,Sum of eneva_production(GWh),Sum of ons_production(GWh)
2016,1,1245,1243
2016,2,1256,1138
2016,3,998,1005
2016,4,525,524
2017,1,602,602
2017,2,704,704
2017,3,1217,1215
2017,4,1567,1566
2018,1,673,675
2018,2,592,592
2018,3,1467,1466
2018,4,667,666
2019,1,424,423
2019,2,324,324
2019,3,997,997
2019,4,1536,1535
2020,1,844,845
2020,2,0,0
2020,3,7,7
2020,4,1447,1447
2021,1,653,653
2021,2,742,742
2021,3,1532,1531
2021,4,3700,3719
2022,1,837,831
2022,2,134,134
2022,3,208,208
2022,4,409,412
2023,1,278,280
2023,2,478,479
2023,3,249,249
